nim,nama,angkatan,prodi,status,kota_asal,tanggal_masuk
2210001,Dur Wulandari,2022,Sains Data,lulus,Makassar,2022-08-01
2210002,Bal Pratama,2022,Sains Data,lulus,Jakarta,2022-08-01
2210003,Man Anggraini,2022,Sains Data,cuti,Makassar,2022-08-01
2210004,Tor Lestari,2022,Sains Data,do,Bandung,2022-08-01
2210005,Can Rahmawati,2022,Sains Data,Cuti,Bandung,2022-08-01
2210006,Rut Putra,2022,Sains Data,Lulus,Semarang,2022-08-01
2210007,Dad Pratama,2022,Sains Data,cuti,Medan,2022-08-01
2210008,Hiy Kusuma,2022,Sains Data,do,Surabaya,2022-08-01
2210009,Tay Kusuma,2022,Sains Data,AKTIF,Medan,2022-08-01
2210010,Bog Nugroho,2022,Sains Data,lulus,Bandung,2022-08-01
2210011,Lar Ramadhan,2022,Sains Data,Lulus,Medan,2022-08-01
2210012,Gim Maulana,2022,Sains Data,Aktif,Semarang,2022-08-01
2210013,Jot Lestari,2022,Sains Data,cuti,Yogyakarta,2022-08-01
2210014,Met Pratama,2022,Sains Data,aktif,Jakarta,2022-08-01
2210015,Aol Hidayat,2022,Sains Data,Aktif,Kupang,2022-08-01
2210016,Mis Wulandari,2022,Sains Data,AKTIF,Semarang,2022-08-01
2210017,Tip Wijaya,2022,Sains Data,lulus,Bandung,2022-08-01
2210018,Fit Maulana,2022,Sains Data,AKTIF,Bandung,2022-08-01
2210019,Had Sari,2022,Sains Data,Lulus,Bandung,2022-08-01
2210020,Dok Putra,2022,Sains Data,aktif,Jakarta,2022-08-01
2210021,Ham Anggraini,2022,Sains Data,Aktif,,2022-08-01
2210022,Rer Pratama,2022,Sains Data,AKTIF,Medan,2022-08-01
2210023,Red Kusuma,2022,Sains Data,Cuti,Yogyakarta,2022-08-01
2210024,Bad Wijaya,,Sains Data,lulus,Kupang,2022-08-01
2210025,Hak Sari,2022,Sains Data,Cuti,Yogyakarta,2022-08-01
2210026,Cak Maulana,2022,Sains Data,Aktif,Medan,2022-08-01
2210027,Fim Firdaus,2022,Sains Data,lulus,Semarang,2022-08-01
2210028,Cas Firdaus,2022,Sains Data,do,Medan,2022-08-01
2210029,Kow Pratama,2022,Sains Data,Cuti,Semarang,2022-08-01
2210030,Tup Rahmawati,2022,Sains Data,cuti,Bandung,2022-08-01
2210031,Rop Nugroho,2022,Sains Data,do,Surabaya,2022-08-01
2210032,Fam Firdaus,2022,Sains Data,Lulus,Surabaya,2022-08-01
2210033,Mag Lestari,2022,Sains Data,AKTIF,Semarang,2022-08-01
2210034,Bar Ramadhan,2022,Sains Data,lulus,Medan,2022-08-01
2210035,Eis Sari,2022,Sains Data,Cuti,Kupang,2022-08-01
2210036,Sob Putra,2022,Sains Data,do,Makassar,2022-08-01
2210037,Pog Nugroho,2022,Sains Data,Lulus,Yogyakarta,2022-08-01
2210038,Air Anggraini,2022,Sains Data,Aktif,Bandung,2022-08-01
2210039,Hot Sari,2022,Sains Data,cuti,Medan,2022-08-01
2210040,Leh Wulandari,2022,Sains Data,Aktif,Semarang,2022-08-01
2210041,Dad Wulandari,,Sains Data,Cuti,Semarang,2022-08-01
2210042,Neg Anggraini,2022,Sains Data,Cuti,Makassar,2022-08-01
2210043,Haw Saputra,2022,Sains Data,cuti,Jakarta,2022-08-01
2210044,Nab Nugroho,2022,Sains Data,aktif,,2022-08-01
2210045,Ruw Firdaus,2022,Sains Data,cuti,Makassar,2022-08-01
2210046,Eus Wijaya,2022,Sains Data,lulus,Kupang,2022-08-01
2210047,Rum Wijaya,2022,Sains Data,aktif,Bandung,2022-08-01
