customer_id,nama_pelanggan,kota,telepon,tanggal_daftar
CUST-00001,Pelanggan 1,Cirebon,,2024-07-24
CUST-00002,Pelanggan 2,Lainnya,+627144683442,2024-05-08
CUST-00003,Pelanggan 3,Cirebon,089624628726,2024-07-17
CUST-00004,Pelanggan 4,Cirebon,,2024-04-11
CUST-00005,Pelanggan 5,Bandung,086188932229,2024-02-14
CUST-00006,Pelanggan 6,Sumedang,626798789493,2024-11-10
CUST-00007,Pelanggan 7,Bandung,626842806656,2024-06-12
CUST-00008,Pelanggan 8,Bandung,627992396357,2024-08-11
CUST-00009,Pelanggan 9,Bandung,088303118597,2024-05-12
CUST-00010,Pelanggan 10,Bandung,,2024-04-04
CUST-00011,Pelanggan 11,Cirebon,+625133598208,2024-08-13
CUST-00012,Pelanggan 12,Lainnya,,2024-10-08
CUST-00013,Pelanggan 13,Bandung,085812146961,2024-11-04
CUST-00014,Pelanggan 14,Sumedang,+624116471902,2024-12-25
CUST-00015,Pelanggan 15,Cirebon,087909717484,2024-08-20
CUST-00016,Pelanggan 16,Sumedang,+623371676013,2024-09-06
CUST-00017,Pelanggan 17,Cirebon,082993800802,2024-07-18
CUST-00018,Pelanggan 18,Sumedang,,2024-05-04
CUST-00019,Pelanggan 19,Sumedang,+626765843432,2024-03-27
CUST-00020,Pelanggan 20,Cirebon,625145757185,2024-05-02
CUST-00021,Pelanggan 21,Bandung,086899332004,2024-02-22
CUST-00022,Pelanggan 22,Lainnya,629319907989,2024-12-11
CUST-00023,Pelanggan 23,Sumedang,,2024-12-16
CUST-00024,Pelanggan 24,Cirebon,,2024-12-09
CUST-00025,Pelanggan 25,Lainnya,088902669961,2024-05-18
CUST-00026,Pelanggan 26,Bandung,629259418612,2024-10-27
CUST-00027,Pelanggan 27,Bandung,,2024-04-27
CUST-00028,Pelanggan 28,Sumedang,626174547775,2024-01-13
CUST-00029,Pelanggan 29,Lainnya,627222568309,2024-03-04
CUST-00030,Pelanggan 30,Bandung,627485267742,2024-02-12
CUST-00031,Pelanggan 31,Lainnya,,2024-07-09
CUST-00032,Pelanggan 32,Cirebon,623804630554,2024-07-08
CUST-00033,Pelanggan 33,Sumedang,624258802297,2024-11-24
CUST-00034,Pelanggan 34,Cirebon,628283784843,2024-01-11
CUST-00035,Pelanggan 35,Sumedang,089707578617,2024-10-26
CUST-00036,Pelanggan 36,Lainnya,625303914630,2024-08-20
CUST-00037,Pelanggan 37,Cirebon,084204514095,2024-08-09
CUST-00038,Pelanggan 38,Bandung,,2024-02-16
CUST-00039,Pelanggan 39,Bandung,,2024-01-26
CUST-00040,Pelanggan 40,Bandung,+628237364341,2024-08-08
CUST-00041,Pelanggan 41,Cirebon,,2024-07-08
CUST-00042,Pelanggan 42,Cirebon,086149277433,2024-03-04
CUST-00043,Pelanggan 43,Lainnya,+621496732524,2024-07-04
CUST-00044,Pelanggan 44,Sumedang,084453846634,2024-05-14
CUST-00045,Pelanggan 45,Cirebon,+629737158488,2024-02-26
CUST-00046,Pelanggan 46,Cirebon,085709731139,2024-08-09
CUST-00047,Pelanggan 47,Lainnya,083405657585,2024-02-15
CUST-00048,Pelanggan 48,Sumedang,,2024-05-07
CUST-00049,,Bandung,+624879596296,2024-05-05
CUST-00050,Pelanggan 50,Sumedang,+625243719029,2024-03-18
CUST-00051,Pelanggan 51,Lainnya,+621239830845,2024-05-07
CUST-00052,Pelanggan 52,Bandung,088293543220,2024-11-02
CUST-00053,,Cirebon,+623364718037,2024-02-18
CUST-00054,Pelanggan 54,Bandung,,2024-01-07
CUST-00055,Pelanggan 55,Lainnya,085231242275,2024-11-18
CUST-00056,Pelanggan 56,Sumedang,,2024-03-18
CUST-00057,Pelanggan 57,Cirebon,082082129817,2024-08-15
CUST-00058,Pelanggan 58,Cirebon,+629154225385,2024-05-21
CUST-00059,Pelanggan 59,Bandung,+624486525455,2024-07-13
CUST-00060,Pelanggan 60,Bandung,+627018084231,2024-11-02
CUST-00061,Pelanggan 61,Bandung,,2024-10-23
CUST-00062,Pelanggan 62,Bandung,084027291052,2024-02-05
CUST-00063,Pelanggan 63,Bandung,,2024-06-18
